Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
89	305	0	2.225	101325.094	101325.096	101325.094	101325.097	0.00192896492	0.0200474144	100	8.33759	0	0	3
90	306	0	2.25	101325.094	101325.096	101325.094	101325.097	0.002077418	0.0200474144	100	8.34519	0	0	3
91	308	0	2.275	101325.094	101325.096	101325.094	101325.097	0.00221331701	0.0200474144	100	8.32494	0	0	3
92	312	0	2.3	101325.094	101325.096	101325.094	101325.097	0.00233783461	0.0200474144	100	8.34861	0	0	3
93	314	0	2.325	101325.094	101325.095	101325.094	101325.097	0.00245157798	0.0200474144	100	8.3253	0	0	3
94	317	0	2.35	101325.093	101325.095	101325.093	101325.097	0.00256199318	0.0200474144	100	8.34696	0	0	3
95	319	0	2.375	101325.093	101325.095	101325.093	101325.097	0.00266645323	0.0200474144	100	8.33671	0	0	3
96	322	0	2.4	101325.093	101325.095	101325.093	101325.097	0.00277799863	0.0200474144	100	8.35887	0	0	3
97	322	0	2.425	101325.093	101325.095	101325.093	101325.097	0.0028868627	0.0200474144	100	8.32503	0	0	3
98	323	0	2.45	101325.092	101325.095	101325.092	101325.096	0.00299203827	0.0200474144	100	8.33701	0	0	3
99	326	0	2.475	101325.092	101325.094	101325.092	101325.096	0.00308032651	0.0200474144	100	8.35139	0	0	3
100	328	0	2.5	101325.092	101325.094	101325.092	101325.096	0.00315531864	0.0200474144	100	8.33674	0	0	3
101	331	0	2.525	101325.092	101325.094	101325.092	101325.096	0.00321318849	0.0200474144	100	8.34756	0	0	3
102	333	0	2.55	101325.092	101325.094	101325.092	101325.096	0.00326271681	0.0200474144	100	8.34638	0	0	3
103	334	0	2.575	101325.092	101325.094	101325.092	101325.096	0.00330603657	0.0200474144	100	8.30806	0	0	3
104	336	0	2.6	101325.091	101325.093	101325.091	101325.095	0.00334921411	0.0200474144	100	8.33792	0	0	3
105	339	0	2.625	101325.091	101325.093	101325.091	101325.095	0.00338779234	0.0200474144	100	8.31862	0	0	3
